bullet-armors	29
uq-holder	48
tower-of-god	-1
combat-continent	-1
sidooh	133
toriko	291
historys-strongest-disciple-kenichi	581
kingdom-of-zombie	11
gamaran	194
the-breaker-new-waves	170
takamagahara	17
k-the-first	8
magician	357
joujuu-senjin-mushibugyo	-1
imperial-academy	5
kubera	198
claymore	154
one-piece	759
mercenary-maruhan	-1
sword-art-online	11
accel-world	17
zetsuen-no-tempest	32
ultimate-legend-kang-hae-hyo	59
kingdom	401
paladin	50
feng-shen-ji	122
honorable-baek-dong-soo	27
ability	60
noblesse	335
ubel-blatt	126
guns-and-stamps	7
berserk	336
magi	237
drifters	44
bleach	595
americano-exodus	8
the-gamer	53
green-blood	49
the-god-of-high-school	173
special-martial-arts-extreme-hell-private-high-school	35
devil-summoner-kuzuha-raidou-tai-kodoku-no-marebito	7
btooom	70
illegal-rare	7
naruto	691
dark-air	-1
flow	60
hells-kitchen	30
area-d	82
gwisin_byeolgok	-1
soul-cartel	139
tale-of-eun-aran	32
battle-angel-alita-last-order	129
12-prince	69
blood-and-steel	55
hunter-x-hunter	349
